date,time,borough,zipcode,latitude,longitude,location,on_street,cross_street,off_street,inj,kill,ped_inj,ped_kill,cyc_inj,cyc_kill,mot_inj,mot_kill,cf_veh1,cf_veh2,cf_veh3,cf_veh4,cf_veh5,uniquekey,vehcode1,vehcode2,vehcode3,vehcode4,vehcode5
2018-03-17,12:00:00,BROOKLYN,11207,40.683464,-73.90753,"(40.683464,-73.90753)",,,1471      BUSHWICK AVENUE               ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3865360,VAN,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:03:00,BRONX,10466,40.895134,-73.85216,"(40.895134,-73.85216)",PITMAN AVENUE                   ,DIGNEY AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3865234,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,12:15:00,MANHATTAN,10001,40.746197,-73.989006,"(40.746197,-73.989006)",,,40        WEST 29 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3865040,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:15:00,MANHATTAN,10016,40.74954,-73.97744,"(40.74954,-73.97744)",LEXINGTON AVENUE                ,EAST 39 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3864475,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:15:00,QUEENS,11368,40.757336,-73.86849,"(40.757336,-73.86849)",NORTHERN BOULEVARD              ,100 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864822,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,12:15:00,,,40.871117,-73.87683,"(40.871117,-73.87683)",EAST 204 STREET                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3864498,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:20:00,MANHATTAN,10036,40.763428,-73.99271,"(40.763428,-73.99271)",10 AVENUE                       ,WEST 48 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3865612,TAXI,TAXI,,,
2018-03-17,12:20:00,QUEENS,11357,40.780457,-73.80223,"(40.780457,-73.80223)",,,160-11    WILLETS POINT BOULEVARD       ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3864368,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,12:20:00,,,40.8452,-73.92671,"(40.8452,-73.92671)",MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3864325,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:28:00,BRONX,10469,40.87939,-73.851204,"(40.87939,-73.851204)",OAKLEY STREET                   ,EAST 219 STREET,,1,0,1,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3865233,PASSENGER VEHICLE,,,,
2018-03-17,12:30:00,QUEENS,11360,40.783566,-73.77733,"(40.783566,-73.77733)",BELL BOULEVARD                  ,18 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3864378,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,12:30:00,QUEENS,11374,40.73257,-73.85668,"(40.73257,-73.85668)",,,99-37     63 ROAD                       ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,Unspecified,,3864616,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
2018-03-17,12:30:00,,,40.666233,-73.761,"(40.666233,-73.761)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3865017,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:30:00,,,40.711227,-73.72826,"(40.711227,-73.72826)",HEMPSTEAD AVENUE                ,CROSS ISLAND PARKWAY,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3866094,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:35:00,,,40.5516,-74.190155,"(40.5516,-74.190155)",ARDEN AVENUE                    ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3864306,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:36:00,BRONX,10467,40.860138,-73.86716,"(40.860138,-73.86716)",,,2324      BOSTON ROAD                   ,0,0,0,0,0,0,0,0,Other Vehicular,,,,,3864742,PASSENGER VEHICLE,,,,
2018-03-17,12:40:00,BROOKLYN,11235,40.587543,-73.958206,"(40.587543,-73.958206)",EAST 12 STREET                  ,AVENUE Z,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3865332,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,12:40:00,,,40.711033,-73.7281,"(40.711033,-73.7281)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864559,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,12:45:00,MANHATTAN,10036,40.75484,-73.98412,"(40.75484,-73.98412)",WEST 42 STREET                  ,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864941,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,12:45:00,,,40.66925,-73.93944,"(40.66925,-73.93944)",EASTERN PARKWAY                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864598,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,12:47:00,,,40.813232,-73.90908,"(40.813232,-73.90908)",EAST 149 STREET                 ,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3865216,PASSENGER VEHICLE,PICK-UP TRUCK,,,
2018-03-17,12:48:00,,,40.844524,-73.902725,"(40.844524,-73.902725)",CROSS BRONX EXPRESSWAY          ,WEBSTER AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3864819,DS,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:48:00,MANHATTAN,10172,40.755302,-73.97536,"(40.755302,-73.97536)",EAST 47 STREET                  ,PARK AVENUE,,1,0,1,0,0,0,0,0,Outside Car Distraction,,,,,3865613,TAXI,,,,
